Title,Type,Location,Description,Link,Catergory
Tableau and Business Intelligence Analytic Platform Engineer,Permanent,London,"  Tableau and Business Intelligence Analytic Platform Engineer, Role details, This role is for a Tableau and Business Intelligence Analytic Platform Engineer to combine technical expertise and advanced knowledge of BI toolset to develop and manage the self-service Analytics platforms - providing curated high quality data sources linked  directly to blazing-fast in-memory database, and facilitating analysts and business users to self-serve information easily., The role will design, develop, implement and support enterprise initiatives around BI Platforms and take a lead on the development self-service of solutions from information stored in Fast In-memory database., Key responsibilities include: , Responsible for scalability and sustainability of Tableau architecture amp; design and take the ownership of data governance amp; data source/semantic layer development. , Provide scalable solutions for handling large data volumes, maximising use of underlying inmemory database, complex reporting amp; interactive dashboards., Perform administrative and support activities across a high availability Analytics Platforms infrastructure including installation, configuration, server patches, security administration, release management, troubleshooting and general systems maintenance., Interact with all areas of the business to ensure the Tableau reporting environment fits with current requirements and drive new initiatives , You will need to have: , For more information and the chance to be considered, please do send through a CV and I will review for you when we start reviewing next week, To find out more about Huxley, please visit www.huxley.com, Huxley, a trading division of SThree Partnership LLP is acting as an Employment Agency in relation to this vacancy | Registered office | 1st Floor, 75 King William Street, London, EC4N 7BE, United Kingdom | Partnership Number | OC387148 England and Wales  ",https://www.reed.co.uk//jobs/tableau-and-business-intelligence-analytic-platform-engineer/43840566?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Tableau and Business Intelligence Analytic Platform Engineer,Permanent,London,"  The Commercial Analyst is directly responsible for the global Samp;OP process management as well as all reporting needs and will achieve the following;, Key Responsibilities, Skills and Experiences  ",https://www.reed.co.uk//jobs/tableau-and-business-intelligence-analytic-platform-engineer/43840566?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Tableau  Engineer,Permanent,London,"  Paid Social and Video Specialist, Leatherhead , £35,000 - £45,000, A multinational business that provides a wide range of goods is looking for a new Paid Social and Video Specialist to join their team. They are in 190 countries worldwide and 500 brands, they are an established company. This is an amazing opportunity to  join a successful team., Responsibilities - , ·Execute campaigns and channel development to optimize media investment, ·Everyday running of campaigns to develop new technologies and pilot approaches, ·Deliver campaign insights in order to support eCommerce business growth, ·Showcase investment returns to multiple stakeholders, ·Develop cross-functional partnerships throughout the company in order to increase revenue, · Recognise deviations from strategic framework and action to ensure a connected organization and channel development, ·Develop cross-functional partnerships across the company in order to drive success, ·Be a global thought leader on trends, new technologies in the MarTech, analytics, and visualization space, Experience - , ·Ideally educated to degree level in a related field, ·3+ years of social / video experience, ·Managing stakeholders within and outside the business, ·Strong analytic skills - Google amp; Adobe analytics, ·Experience dealing with senior stakeholders, ·Experience with KPIs  ",https://www.reed.co.uk//jobs/tableau-engineer/43840674?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Tableau  Engineer,Permanent,London,"  Title- BI Consultant , Location- South East/ Remote , Salary- Up to £55,000, Job Description, You will be working for a Microsoft Gold and leading company, who specialise in providing cloud technology and end-to-end solutions. In this role you will be helping clients modernise applications and migrate workloads on public clouds., Role amp; Responsibilities, Skills amp; Qualifications, Benefits  ",https://www.reed.co.uk//jobs/tableau-engineer/43840674?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Business Intelligence Reporting Developer,Permanent,London,"You will follow the Critical Path of production from start to finish with far east suppliers, working closing with the designers checking and raising purchase orders and checking gold seals for quality, colour etc. , Client Details, A business in the Harrogate area. They are known for their design lead products sold in to leading Ecommerce amp; High Street retailers., Description, Profile, Job Offer, Free Parking, Friendly Office team , Import Merchandiser / Buying Admin Assistant , Import Merchandiser / Buying Admin Assistant , Import Merchandiser / Buying Admin Assistant   ",https://www.reed.co.uk//jobs/business-intelligence-reporting-developer/43840876?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Business Intelligence Reporting Developer,Permanent,London,"  Page Personnel are working in partnership with a technology company who are now currently recruiting for a Finance Manager., You will be supporting and managing an ambitious, hardworking Accounts Team.This is a really exciting opportunity for someone to join an established technology company, going through an incredible phase of growth currently with loads of opportunities to  progress. , Client Details, Page Personnel are working in partnership with an award-winning technology company based in Warrington. Following a sustained growth throughout the pandemic, they are now currently recruiting for a Finance Manager., Description, The duties include for the Finance Manager are:, * Assistance with preparation of monthly management accounts, * Profit and loss account analysis and review for internal and external stakeholder, * Preparation of year end statutory accounts and audit schedules, * Assistance with budget preparation., * Liaising with stakeholders and preparation and review of the annual budget and regular forecasts, Profile, The successful applicant for the Finance Reporting Manager role:, * Ideally AAT qualified or equivalent and studying toward ACCA, CIMA or another equivalent financial qualification, * Flexible and adaptable approach, able to deal with a busy environment, * Excellent communication skills both verbal and written and the ability to work across all areas of the business, * Strong analytic skills and attention to detail , Job Offer, * £25,00- £35,000 salary , * 25 days holiday + bank holidays, * Company pension scheme , * Free parking on site  ",https://www.reed.co.uk//jobs/business-intelligence-reporting-developer/43840876?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Commercial Analyst,Permanent,Nottingham,"  A great client of mine based in Southampton, are looking for an excellent full-time opportunity for a Systems Developer to join the in-house Development Team., Responsibilities:, • Help with both design and development of the in-house software solutions. You will be liaising with Product Owners, Business Systems Analytic, the Development team and other end users., • Provide 3rd line technical application support for in-house operational software, • Provide development support to the IT Department as required, • Contribute to the growth of the Development Team, through knowledge sharing and innovation, What do YOU need:, • 3+ years commercial experience in a Software development role., • Understanding of object-oriented software development methods and techniques (design patterns \\ interfaces \\ inheritance), • Excellent knowledge of C# language (including MVC, WinForms, WCF, Entity Framework), • A good level of experience working with ReactJS or a similar JS framework, ie: Angular or Vue., • Experience with developing Windows services, • Knowledge of developing for MS SQL Server (2012 onwards), including use of stored procedures and triggers, • Experience of working with complex XML for inter-system data transfer, • Strong analytical and problem-solving skills, • Ability to work on own or as part of a team, • A positive can-do attitude, Skills\\qualifications preferred:, • IT qualification (Diploma \\ degree or equivalent), specific to software development, • Experience using an agile software methodology, Gigabit Group Ltd acts as an employment business for temporary positions and an employment agency for permanent positions. Gigabit Group Ltd is committed to equal opportunity and diversity. Suitable candidates with equivalent qualifications and more  or less experience can apply.  ",https://www.reed.co.uk//jobs/commercial-analyst/43900304?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Commercial Analyst,Permanent,Nottingham,"  This is a fantastic opportunity for a graduate looking to kickstart their career within a growing company who offer excellent progression and exposure. It would also be suitable for someone with 1-2 years  work experience looking for their next step. The  role is based in Harlow and you will have the opportunity to work within a number of departments and develop your experience and skillset. , Client Details, The client is a global market-leader within their field with Headquarters based in Harlow, Essex. They are currently looking for a Graduate Procurement Assistant to start on a permanent basis on a graduate scheme, that they can train and develop in all areas  of Procurement. , Description, As a Graduate Procurement Assistant your key responsibilities will be:, Profile, Job Offer  ",https://www.reed.co.uk//jobs/commercial-analyst/43900304?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Paid Social and Video Specialist,Permanent,London,"  Business Analyst - Salesforce - Service Cloud , Our client is a well-known media company. They are looking for a contractor with experience of Service Cloud to join the Technology team., Key responsibilities:, Essential skills required for the role include - Proven experience of Business Analysis and a high degree of competency in requirement gathering activities as well as;   ",https://www.reed.co.uk//jobs/paid-social-and-video-specialist/43916784?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
Paid Social and Video Specialist,Permanent,London,"  BI Developer, Location- Durham/ North East, Salary- Up to £45,000 , The BI Developer will play a pivotal role within the global IT team. The team are currently responsible for delivery of IT services across the company. , You will be responsible for developing Business Intelligence and Analytic reporting output solutions, using QlikSense across a wide business estate / operational teams. This will include scoping, planning and managing business projects involving all aspects  of BI solutions and data warehousing such as data sourcing investigations, design, implementation, testing and end user support., Technology;  ",https://www.reed.co.uk//jobs/paid-social-and-video-specialist/43916784?source=searchResults&filter=%2fjobs%2fbusiness-analytic-jobs,business analytic
