market_id,market,country,province,province_2,latitude,longitude
1887,National Average,Bassas da India,,,,
1392,Port Blair,Bassas da India,,Andaman Islands,11.6666667,92.75
4676,Mayabunder,Bassas da India,,Andaman Islands,12.9131,92.89786
941,Hyderabad,Bassas da India,,Hyderabad,17.375278,78.474444
971,Vijaywada,Bassas da India,,Krishna,16.51,80.64
4648,Adilabad,Bassas da India,,Adilabad,19.66526,78.53343
4666,Jadcherla,Bassas da India,,Mahbubnagar,16.76358,78.14446
4671,Karimnagar,Bassas da India,,Karimnagar,18.43926,79.12774
4673,Kurnool,Bassas da India,,Kurnool,15.82851,78.03815
4692,Suryapet,Bassas da India,,Nalgonda,17.14,79.622
4695,Tirupathi,Bassas da India,,Chittoor,13.62955,79.41912
4699,Visakhapatnam,Bassas da India,,Vishakhapatnam,17.68793,83.21827
4700,Warangal,Bassas da India,,Warangal,17.96913,79.59497
943,Itanagar,Bassas da India,,,,
939,Guwahati,Bassas da India,,Kamrup,26.183333,91.733333
927,Bhagalpur,Bassas da India,,Banka,24.883333,86.916667
957,Patna,Bassas da India,,Patna,25.6,85.116667
4657,Darbhanga,Bassas da India,,Darbhanga,26.1545,85.89186
4678,Muzzafarpur,Bassas da India,,Muzaffarpur,26.12126,85.39142
4682,Purnia,Bassas da India,,Purnia,25.77812,87.47542
4749,Bihar_Gaya,Bassas da India,,Gaya,24.7928,85.0
5901,Saran,Bassas da India,,Saran,25.77923,84.74585
5902,Munger,Bassas da India,,Munger,25.37698,86.4727
5903,Saharsa,Bassas da India,,Saharsa,25.87726,86.59296
5904,Madhubani,Bassas da India,,Madhubani,26.35741,86.07111
5905,Rohtas (sasaram),Bassas da India,,Rohtas,24.95301,84.01428
5906,Motihari,Bassas da India,,Purba Champaran,26.64408,84.90362
5907,Samastipur,Bassas da India,,Samastipur,25.85587,85.78591
5908,Katihar,Bassas da India,,Katihar,25.54289,87.56861
5909,Araria,Bassas da India,,Araria,26.134,87.46575
5910,Nawada,Bassas da India,,Nawada,24.88645,85.54358
5911,Khagaria,Bassas da India,,Khagaria,25.51088,86.47507
934,Delhi,Bassas da India,,Delhi,28.666667,77.216667
1393,Panaji,Bassas da India,,North Goa,15.4833333,73.8333333
923,Ahmedabad,Bassas da India,,Ahmadabad,23.033333,72.616667
959,Rajkot,Bassas da India,,Rajkot,22.3,70.783333
4653,Bhuj,Bassas da India,,Kachchh,23.24464,69.66669
4691,Surat,Bassas da India,,Surat,21.17005,72.83109
940,Hisar,Bassas da India,,Hisar,29.166667,75.716667
948,Karnal,Bassas da India,,Karnal,29.683333,76.983333
1779,Gurgaon,Bassas da India,,Gurgaon,28.4594965,77.0266383
1782,Panchkula,Bassas da India,,Panchkula,30.6942091,76.860565
954,Mandi,Bassas da India,,Mandi,31.716667,76.916667
963,Shimla,Bassas da India,,Shimla,31.103333,77.172222
4658,Dharamshala,Bassas da India,,Kangra,32.21921,76.32334
4690,Solan,Bassas da India,,Solan,30.90993,77.09747
5068,Una,Bassas da India,,Una,31.46849,76.2709
5898,Bilaspur-hp,Bassas da India,,Bilaspur,31.33791,76.76131
926,Bengaluru,Bassas da India,,Bangalore Urban,12.962299,77.576943
935,Dharwad,Bassas da India,,Dharwad,15.466667,75.016667
4675,Mangalore,Bassas da India,,Dakshin Kannad,12.91428,74.85592
4679,Mysore,Bassas da India,,Mysore,12.29756,76.63929
5678,Bengaluru (east range),Bassas da India,,Bangalore Urban,12.99128,77.7102
5679,Belagavi,Bassas da India,,Belgaum,15.8567,74.50743
5680,Kalaburagi,Bassas da India,,Gulbarga,17.33198,76.83308
5681,Tumakuru,Bassas da India,,Tumkur,13.34,77.101
5682,Bellary,Bassas da India,,Tumkur,13.1396,76.92145
5683,Dhavanagere,Bassas da India,,Davanagere,14.46488,75.92195
5684,Shivamogga,Bassas da India,,Shimoga,13.92959,75.56816
5685,Vijayapur,Bassas da India,,Bijapur,16.82798,75.71592
938,Ernakulam,Bassas da India,,Ernakulam,9.983333,76.283333
966,T.Puram,Bassas da India,,Thiruvananthapuram,8.506944,76.956944
968,Tiruvanantapuram,Bassas da India,,Thiruvananthapuram,8.506944,76.956944
1781,Kozhikode,Bassas da India,,Kozhikode,11.2587531,75.78041
4681,Palakkad,Bassas da India,,Palakkad,10.76439,76.65723
4693,Thrissur,Bassas da India,,Thrissur,10.53091,76.2147
4701,Wayanad,Bassas da India,,Wayanad,11.70337,76.08306
928,Bhopal,Bassas da India,,Bhopal,23.266667,77.4
942,Indore,Bassas da India,,Indore,22.716667,75.833333
1780,Gwalior,Bassas da India,,Gwalior,26.2182871,78.1828308
1785,Jabalpur,Bassas da India,,Jabalpur,23.181467,79.9864071
4687,Rewa,Bassas da India,,Rewa,24.53918,81.29264
4689,Sagar,Bassas da India,,Sagar,23.84225,78.73986
5069,Jhabua,Bassas da India,,Jhabua,22.77001,74.59217
5070,Hoshangabad,Bassas da India,,Hoshangabad,22.75105,77.71983
5071,Shahdol,Bassas da India,,Shahdol,23.30055,81.35681
5072,Ujjain,Bassas da India,,Ujjain,23.17762,75.78837
6010,Morena,Bassas da India,,Morena,26.49107,77.98169
